序號,答案
20240102090001,1277.55
20240102091001,1369.8
20240102092001,1462.67
20240102093001,1540.4
20240102094001,1594.3
20240102095001,1631.14
20240102100001,1659.6
20240102101001,1671.31
20240102102001,1674.38
20240102103001,1669.7
20240102104001,1689.69
20240102105001,1708.54
20240102110001,1710.23
20240102111001,1734.19
20240102112001,1727.19
20240102113001,1760.06
20240102114001,1766.71
20240102115001,1728.95
20240102120001,1705.11
20240102121001,1703.99
20240102122001,1733.1
20240102123001,1664.08
20240102124001,1791.86
20240102125001,1791.78
20240102130001,1329.92
20240102131001,417.97
20240102132001,291.34
20240102133001,195.89
20240102134001,160.57
20240102135001,122.99
20240102140001,105.78
20240102141001,81.01
20240102142001,56.43
20240102143001,36.42
20240102144001,26.28
20240102145001,22.13
20240102150001,22.02
20240102151001,19.7
20240102152001,15.99
20240102153001,14.8
20240102154001,12.8
20240102155001,9.86
20240102160001,6.89
20240102161001,4.8
20240102162001,3.92
20240102163001,3.5
20240102164001,1.72
20240102165001,0.58
20240108090001,88.46
20240108091001,411.72
20240108092001,83.83
20240108093001,70.15
20240108094001,222.37
20240108095001,320.88
20240108100001,203.78
20240108101001,292.34
20240108102001,433.4
20240108103001,258.12
20240108104001,304.53
20240108105001,274.01
20240108110001,353.57
20240108111001,203.9
20240108112001,161.65
20240108113001,185.11
20240108114001,507.1
20240108115001,1008.07
20240108120001,465.6
20240108121001,552.93
20240108122001,348.97
20240108123001,318.97
20240108124001,618.14
20240108125001,1200.94
20240108130001,846.87
20240108131001,461.86
20240108132001,215.46
20240108133001,243.79
20240108134001,979.18
20240108135001,1657.09
20240108140001,724.49
20240108141001,352.1
20240108142001,248.56
20240108143001,172.92
20240108144001,362.32
20240108145001,252.72
20240108150001,646.18
20240108151001,377.64
20240108152001,224.11
20240108153001,140.8
20240108154001,71.08
20240108155001,57.45
20240108160001,39.54
20240108161001,23.6
20240108162001,15.12
20240108163001,8.29
20240108164001,4.69
20240108165001,2.69
20240129090001,76.22
20240129091001,120.87
20240129092001,172.66
20240129093001,92.41
20240129094001,108.42
20240129095001,154.62
20240129100001,382.02
20240129101001,374.85
20240129102001,421.33
20240129103001,670.45
20240129104001,574.16
20240129105001,889.18
20240129110001,336.26
20240129111001,149.51
20240129112001,148.3
20240129113001,125.21
20240129114001,238.16
20240129115001,305.42
20240129120001,651.11
20240129121001,450.41
20240129122001,382.83
20240129123001,1050.7
20240129124001,1534.86
20240129125001,1532.26
20240129130001,1597.43
20240129131001,1462.64
20240129132001,1648.88
20240129133001,1308.2
20240129134001,822.98
20240129135001,1120.97
20240129140001,325.87
20240129141001,254.09
20240129142001,154.66
20240129143001,129.4
20240129144001,114.59
20240129145001,91
20240129150001,92.96
20240129151001,83.51
20240129152001,54.72
20240129153001,47.92
20240129154001,32.27
20240129155001,23.68
20240129160001,12.56
20240129161001,6.58
20240129162001,3.88
20240129163001,3.67
20240129164001,2.84
20240129165001,1.8
20240217090001,1082.56
20240217091001,245.71
20240217092001,1549.47
20240217093001,1494.25
20240217094001,914.92
20240217095001,1739.12
20240217100001,1754.52
20240217101001,1768.32
20240217102001,1788.33
20240217103001,1686.53
20240217104001,1658.92
20240217105001,1714.68
20240217110001,1811.92
20240217111001,1883.89
20240217112001,1717.99
20240217113001,1841.13
20240217114001,1885.04
20240217115001,1850.8
20240217120001,1830.16
20240217121001,1756.08
20240217122001,1928.55
20240217123001,935.97
20240217124001,612.81
20240217125001,371.5
20240217130001,1058.34
20240217131001,986.79
20240217132001,343.9
20240217133001,122.9
20240217134001,79.15
20240217135001,109.86
20240217140001,54.11
20240217141001,35.44
20240217142001,41.01
20240217143001,60.89
20240217144001,70.32
20240217145001,125.02
20240217150001,121.61
20240217151001,149.89
20240217152001,86.19
20240217153001,110.89
20240217154001,98.95
20240217155001,58.08
20240217160001,60.88
20240217161001,35.65
20240217162001,21.99
20240217163001,13.56
20240217164001,9.46
20240217165001,6.99
20240228090001,1205.62
20240228091001,1363.09
20240228092001,1384.72
20240228093001,1501.85
20240228094001,1554.88
20240228095001,1595.6
20240228100001,1681.97
20240228101001,1689.74
20240228102001,1738.69
20240228103001,1735.25
20240228104001,1762.89
20240228105001,1601.55
20240228110001,1808.01
20240228111001,1828.57
20240228112001,1515.61
20240228113001,1553.08
20240228114001,1733.43
20240228115001,1869.46
20240228120001,1575.79
20240228121001,1878.61
20240228122001,1352.61
20240228123001,1003.11
20240228124001,359.29
20240228125001,200.9
20240228130001,110.86
20240228131001,100.3
20240228132001,60.66
20240228133001,51.6
20240228134001,149.94
20240228135001,134.05
20240228140001,108.34
20240228141001,73.12
20240228142001,33.94
20240228143001,19.51
20240228144001,16.59
20240228145001,20.23
20240228150001,17.06
20240228151001,12.52
20240228152001,9.31
20240228153001,3.97
20240228154001,1.56
20240228155001,0.72
20240228160001,0.56
20240228161001,0.61
20240228162001,0.54
20240228163001,0.53
20240228164001,0.74
20240228165001,0.58
20240317090001,1194
20240317091001,1309.81
20240317092001,1393.07
20240317093001,1463.24
20240317094001,1517.49
20240317095001,1557.77
20240317100001,1585.41
20240317101001,1598.98
20240317102001,1607.74
20240317103001,1630.89
20240317104001,1654.16
20240317105001,1678.74
20240317110001,1721.96
20240317111001,1744.47
20240317112001,1568.02
20240317113001,1427.01
20240317114001,1472.7
20240317115001,625.72
20240317120001,969.94
20240317121001,477.38
20240317122001,176.53
20240317123001,156.76
20240317124001,235.4
20240317125001,185.69
20240317130001,118.75
20240317131001,129.23
20240317132001,153.21
20240317133001,133.89
20240317134001,187.09
20240317135001,244.89
20240317140001,154.43
20240317141001,116.78
20240317142001,85.93
20240317143001,55.96
20240317144001,58.35
20240317145001,34.76
20240317150001,24.77
20240317151001,17.99
20240317152001,11.36
20240317153001,9.79
20240317154001,19.66
20240317155001,26
20240317160001,19.56
20240317161001,16.1
20240317162001,14.88
20240317163001,12.6
20240317164001,7.35
20240317165001,4.26
20240422090001,1155.6
20240422091001,1144.34
20240422092001,1089.74
20240422093001,981.61
20240422094001,942.8
20240422095001,633.47
20240422100001,519.56
20240422101001,250.46
20240422102001,275
20240422103001,525.6
20240422104001,383.58
20240422105001,352.81
20240422110001,1066.88
20240422111001,1212.38
20240422112001,930.45
20240422113001,1505.18
20240422114001,1552.26
20240422115001,1354.06
20240422120001,696.12
20240422121001,522.07
20240422122001,657.2
20240422123001,1490.63
20240422124001,666.33
20240422125001,687.84
20240422130001,480.13
20240422131001,317.06
20240422132001,327.32
20240422133001,298.12
20240422134001,206.82
20240422135001,411.67
20240422140001,230.67
20240422141001,200.68
20240422142001,329.17
20240422143001,297.33
20240422144001,226.39
20240422145001,49.16
20240422150001,35.56
20240422151001,16.94
20240422152001,9.88
20240422153001,12.49
20240422154001,20.85
20240422155001,53.31
20240422160001,33.72
20240422161001,14.54
20240422162001,5.49
20240422163001,2.87
20240422164001,8.27
20240422165001,8.24
20240625090001,863.11
20240625091001,939.35
20240625092001,1016.55
20240625093001,1043.25
20240625094001,1079.95
20240625095001,1080.23
20240625100001,1193.97
20240625101001,1212.87
20240625102001,1239.85
20240625103001,1174.67
20240625104001,1010.52
20240625105001,823.02
20240625110001,1172.93
20240625111001,1202.61
20240625112001,612.16
20240625113001,1379.77
20240625114001,1077.55
20240625115001,1308.52
20240625120001,1178.7
20240625121001,999.53
20240625122001,900.81
20240625123001,859.38
20240625124001,930.4
20240625125001,984.28
20240625130001,1171.11
20240625131001,958.35
20240625132001,646.6
20240625133001,784.11
20240625134001,769.47
20240625135001,773.42
20240625140001,620.27
20240625141001,664.47
20240625142001,557.09
20240625143001,437.02
20240625144001,415.18
20240625145001,128.06
20240625150001,201.7
20240625151001,326.61
20240625152001,274.17
20240625153001,189.04
20240625154001,134.85
20240625155001,149.57
20240625160001,106.87
20240625161001,24.94
20240625162001,5.98
20240625163001,46.4
20240625164001,18.17
20240625165001,7.5
20240208090002,34.91
20240208091002,21.1
20240208092002,69.32
20240208093002,192.33
20240208094002,240.21
20240208095002,247.16
20240208100002,420.74
20240208101002,488.75
20240208102002,255.23
20240208103002,269.77
20240208104002,299.4
20240208105002,271.22
20240208110002,242.02
20240208111002,86.35
20240208112002,79.78
20240208113002,89.55
20240208114002,205.5
20240208115002,189.19
20240208120002,164.12
20240208121002,125.92
20240208122002,123.08
20240208123002,116.54
20240208124002,229.56
20240208125002,162.89
20240208130002,229.96
20240208131002,271.1
20240208132002,285.65
20240208133002,997.62
20240208134002,1607.93
20240208135002,819.83
20240208140002,657.77
20240208141002,332.78
20240208142002,249.2
20240208143002,120.71
20240208144002,15.25
20240208145002,12.09
20240208150002,4.69
20240208151002,1.15
20240208152002,0.86
20240208153002,1.45
20240208154002,6.44
20240208155002,5.75
20240208160002,1.98
20240208161002,2.31
20240208162002,1.02
20240208163002,0.7
20240208164002,0.21
20240208165002,0.18
20240217090002,1052.62
20240217091002,254.87
20240217092002,1709.24
20240217093002,1798.74
20240217094002,1055.52
20240217095002,1708.71
20240217100002,1867.27
20240217101002,1890.19
20240217102002,1915.07
20240217103002,1782.22
20240217104002,1510.4
20240217105002,2012.81
20240217110002,1999.6
20240217111002,1880.44
20240217112002,1943.27
20240217113002,1980.7
20240217114002,1973.64
20240217115002,1898.12
20240217120002,1948.5
20240217121002,1800.2
20240217122002,2054.88
20240217123002,934.01
20240217124002,776.11
20240217125002,502.95
20240217130002,1262.35
20240217131002,903.83
20240217132002,340.64
20240217133002,118.46
20240217134002,86.16
