Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240117160002,0.75,1013.48,29.33,40.12,34370.57,85.02
20240117161002,0.75,1013.55,27.07,44.64,12747.17,15.54
20240117162002,0.47,1013.63,24.28,52.44,10925.67,9.62
20240117163002,0.36,1013.67,24.88,49.27,13362.33,7.08
20240117164002,0.03,1013.77,23.23,53.88,5005.5,3.6
20240117165002,0,1013.88,21.78,59.69,4420.5,3.03
20240118090002,0.41,1013.82,33.16,29.89,88449.37,1509
20240118091002,1.74,1013.91,33.89,26.96,92837.34,1624.18
20240118092002,1.79,1013.92,33.02,27.22,97186.5,1740.49
20240118093002,1.53,1013.87,33.14,26.5,102078.13,1839
20240118094002,2.95,1013.81,31.38,28.7,105736.74,1920.11
20240118095002,3.09,1013.72,30.2,32.44,108745.25,1988.65
20240118100002,2.5,1013.57,31.36,31.8,111876.67,2020.18
20240118101002,1.53,1013.21,33.5,27.08,115653.7,2026.77
20240118102002,1.48,1012.94,35.42,22.82,116911.87,2023.64
20240118103002,1.61,1012.78,35.21,23.61,117758.2,2059.95
20240118104002,1.98,1012.65,34.52,24.7,117758.2,2085.46
20240118105002,2.18,1012.53,34.05,25.49,117758.2,2112.82
20240118110002,1.42,1012.5,35.3,22.42,117758.2,2097.6
20240118111002,1.94,1012.32,37.42,19.22,117758.2,2087.11
20240118112002,1.53,1012.23,37.83,17.9,117758.2,2091.33
20240118113002,0.7,1011.97,39.05,17.38,117758.2,2046.96
20240118114002,0.76,1011.78,40.45,16.36,117758.2,2010.08
20240118115002,1.3,1011.53,38.96,17.41,117758.2,2035.95
20240118120002,0.66,1011.37,40.34,16.13,117758.2,2010.77
20240118121002,1.04,1011.1,38.62,18.61,117758.2,2015.45
20240118122002,0.99,1010.98,38.09,19.46,102398.43,2019.33
20240118123002,1.14,1010.82,39.15,17.99,117758.2,2001.06
20240118124002,1.4,1010.59,38,19.44,117758.2,2009.4
20240118125002,1.36,1010.36,38.31,18.78,117758.2,1979.46
20240118130002,2.53,1010.35,35.96,20.15,117758.2,2018.16
20240118131002,2.58,1010.22,34.3,22,114924.17,1974.08
