Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240210070015,0,1026.21,13.94,93.28,405.17,0.08
20240210071015,0,1026.23,13.89,93.13,520.75,0.11
20240210072015,0,1026.38,13.94,93.09,925,0.22
20240210073015,0,1026.56,13.86,92.63,1262.92,0.46
20240210074015,0,1026.71,13.8,92.39,1699,0.61
20240210075015,0,1026.76,13.85,92.64,1705.42,0.6
20240210080015,0,1026.83,13.87,92.43,1760.08,0.61
20240210081015,0.02,1027.06,13.98,91.92,2030.25,0.77
20240210082015,0,1027.1,13.9,91.32,2299.33,0.97
20240210083015,0,1027.2,14.03,90.83,2537.33,1.16
20240210084015,0,1027.28,14.02,90.42,2799.33,1.39
20240210085015,0,1027.4,14.01,89.73,3576.25,2.18
20240211070015,0,1029.34,11.19,95.3,4620.83,5.55
20240211071015,0,1029.5,11.96,94.43,6828,12.49
20240211072015,0,1029.61,12.8,90.79,8635.5,17.03
20240211073015,0,1029.72,14.01,87.69,13056,39.1
20240211074015,0,1029.83,15.76,82.12,19770.75,97.34
20240211075015,0,1029.82,16.1,73.82,13566.67,33.45
20240211080015,0,1029.98,16.26,74.35,28952.35,151.84
20240211081015,0,1029.99,18.06,68.87,19554,87.49
20240211082015,0,1030.12,18,67.56,32880.64,117.24
20240211083015,0,1030.24,21.98,56.98,28360.04,234.32
20240211084015,0,1030.27,22.51,52.47,33453,156.3
20240211085015,0,1030.34,21.98,52.24,22768.17,80.46
20240212070015,0,1029.18,14.75,72.94,1407.58,0.57
20240212071015,0,1029.29,15.03,71.78,1587.67,0.73
20240212072015,0,1029.42,15.29,70.16,1934.81,1.02
20240212073015,0,1029.51,15.54,68.94,2473.5,1.62
20240212074015,0,1029.57,15.9,66.69,3399.92,2.85
20240212075015,0,1029.71,16.29,66.3,4398,4.58
20240212080015,0,1029.88,16.65,64.79,5079.33,6.07
20240212081015,0,1029.94,17.06,63.44,5736.17,7.72
20240212082015,0,1030.03,17.66,61,6812.42,10.59
20240212083015,0,1030.06,18.21,59.57,9035.5,18.32
20240212084015,0,1030.27,18.76,57.54,10520.83,24.23
20240212085015,0,1030.3,19.6,56.54,13931.33,42.34
20240213070015,0,1026.49,14.95,73.19,3870.75,3.05
20240213071015,0,1026.64,15.16,74.75,6206.58,9.86
20240213072015,0,1026.76,16.62,68.45,7739.75,14.81
20240213073015,0,1026.83,17.53,67.66,10053.75,23.39
20240213074015,0,1026.81,18.48,63.9,12898.75,38.54
20240213075015,0,1026.92,18.4,59.76,9907.92,20.67
20240213080015,0,1026.86,18.54,55.97,12356,30.87
20240213081015,0,1026.8,19.52,53.2,17692.5,58.47
20240213082015,0,1026.85,20.2,50.63,28729.01,131.41
20240213083015,0,1026.95,23.77,47.65,38618.37,432.38
20240213084015,0,1027.04,23.67,46.64,27137.67,157.38
20240213085015,0,1027.02,23.92,45.64,27188.33,155.9
20240214070015,0,1023.12,18.55,67.12,8898.67,30.29
20240214071015,0,1023.22,19.96,60.94,11233.75,36.97
20240214072015,0,1023.27,18.89,63.4,7788.75,15.49
20240214073015,0,1023.33,19.6,62.31,14818.5,53.18
20240214074015,0,1023.41,20.68,59.07,18769.33,79.31
20240214075015,0,1023.44,20.72,57.69,10559.75,23.61
20240214080015,0,1023.5,20.11,59.69,10815,18.34
20240214081015,0,1023.53,20.39,59.94,19036.17,55.33
20240214082015,0,1023.66,20.91,58.54,23167.53,39.58
20240214083015,0,1023.75,22.32,54.51,39469,301.21
20240214084015,0,1023.83,22.5,53.06,13963.17,33.12
20240214085015,0,1023.94,22.37,53.88,25675.35,92.92
20240215070015,0,1020.23,20.16,63.69,10282.08,39.64
20240215071015,0,1020.34,22.16,57.7,14325.58,69.55
20240215072015,0,1020.45,21.73,57.05,10252.5,28.35
20240215073015,0,1020.48,22.47,53.57,17502.5,67.02
20240215074015,0,1020.52,22.93,53.47,19584.17,81.82
20240215075015,0,1020.55,23.95,51.62,13721.83,42.13
20240215080015,0,1020.66,22.62,55.58,10995.92,22.77
20240215081015,0,1020.7,21.75,59.02,14020,26.91
20240215082015,0,1020.72,22.18,57.53,18130,27.41
20240215083015,0,1020.65,23.2,55.04,23777.9,63.37
20240215084015,0,1020.72,24.3,51.45,15990.83,36.91
20240215085015,0,1020.77,23.92,51.9,21574.83,68.05
20240216070015,0,1022.15,18.44,95.91,601.67,0.12
20240216071015,0,1022.29,18.55,95.71,854.17,0.24
20240216072015,0,1022.41,18.49,93.72,1223.08,0.45
20240216073015,0,1022.53,18.54,91.88,1855.17,0.95
20240216074015,0,1022.68,18.71,92.86,2120.08,1.18
20240216075015,0,1022.76,19,93.66,3165.5,2.5
20240216080015,0,1022.85,19.25,93.74,4101.25,4.17
20240216081015,0,1022.9,19.35,93.18,4336.75,4.63
20240216082015,0,1022.96,19.37,93.08,3866.83,3.59
20240216083015,0,1023.09,19.32,93.31,3870.84,3.56
20240216084015,0,1023.19,19.44,92.99,4640.08,4.94
20240216085015,0,1023.22,19.44,91.33,5271.08,6.28
20240217070015,0,1020.4,19.42,95.89,11651,67.14
20240217071015,0,1020.44,20.21,90.76,10814.58,46.85
20240217072015,0,1020.52,19.62,90.31,8382.83,20.43
20240217073015,0,1020.59,19.58,90.78,10763.83,26.7
20240217074015,0,1020.63,20.19,89.68,17696.08,91.9
20240217075015,0,1020.68,20.51,87.16,11346.58,29.41
20240217080015,0,1020.75,20.48,88.56,14644.42,49.81
20240217081015,0,1020.84,22.49,83.69,30208.7,135.65
20240217082015,0,1020.93,23.25,76.35,23545.5,80.5
20240217083015,0,1020.96,22.99,76.25,21075.58,88.73
20240217084015,0,1021,23.44,76.38,25208.17,136.55
20240217085015,0,1020.99,24.65,71.22,26635.09,153.28
20240218070015,0,1018.5,20.78,79.71,2469,1.61
20240218071015,0,1018.66,21,80.01,3752.33,3.51
20240218072015,0,1018.75,21.66,78.29,7453.33,14.5
