序號,答案
20240117090001,259.29
20240117091001,316.44
20240117092001,356.47
20240117093001,440.52
20240117094001,538.91
20240117095001,607.98
20240117100001,657.72
20240117101001,696.02
20240117102001,698.66
20240117103001,671.67
20240117104001,595.18
20240117105001,429.83
20240117110001,513.44
20240117111001,589.59
20240117112001,587.84
20240117113001,591.0
20240117114001,580.12
20240117115001,544.25
20240117120001,486.41
20240117121001,410.22
20240117122001,321.82
20240117123001,230.24
20240117124001,143.47
20240117125001,73.92
20240117130001,43.0
20240117131001,58.81
20240117132001,116.23
20240117133001,177.78
20240117134001,175.41
20240117135001,33.33
20240117140001,124.1
20240117141001,158.27
20240117142001,99.8
20240117143001,71.74
20240117144001,66.68
20240117145001,57.67
20240117150001,72.21
20240117151001,89.3
20240117152001,96.66
20240117153001,101.09
20240117154001,105.6
20240117155001,108.88
20240117160001,114.79
20240117161001,125.01
20240117162001,137.62
20240117163001,152.47
20240117164001,168.24
20240117165001,183.86
20240119090001,400.14
20240119091001,306.61
20240119092001,368.96
20240119093001,456.78
20240119094001,554.18
20240119095001,615.99
20240119100001,657.72
20240119101001,696.02
20240119102001,698.66
20240119103001,671.67
20240119104001,595.18
20240119105001,429.83
20240119110001,514.27
20240119111001,590.47
20240119112001,588.37
20240119113001,591.46
20240119114001,580.76
20240119115001,545.04
20240119120001,487.08
20240119121001,410.76
20240119122001,322.25
20240119123001,230.59
20240119124001,143.72
20240119125001,73.99
20240119130001,43.0
20240119131001,58.81
20240119132001,116.23
20240119133001,177.78
20240119134001,175.41
20240119135001,33.33
20240119140001,124.1
20240119141001,158.27
20240119142001,99.8
20240119143001,71.74
20240119144001,66.68
20240119145001,57.67
20240119150001,72.21
20240119151001,89.3
20240119152001,96.66
20240119153001,101.09
20240119154001,105.6
20240119155001,108.88
20240119160001,114.79
20240119161001,125.01
20240119162001,137.62
20240119163001,152.47
20240119164001,168.24
20240119165001,183.86
20240224090001,199.36
20240224091001,259.96
20240224092001,325.66
20240224093001,415.86
20240224094001,522.17
20240224095001,599.06
20240224100001,657.72
20240224101001,696.02
20240224102001,698.66
20240224103001,671.67
20240224104001,595.18
20240224105001,429.83
20240224110001,512.47
20240224111001,588.72
20240224112001,587.18
20240224113001,590.49
20240224114001,579.66
20240224115001,543.86
20240224120001,486.05
20240224121001,410.02
20240224122001,321.66
20240224123001,230.11
20240224124001,143.33
20240224125001,73.82
20240224130001,43.0
20240224131001,58.81
20240224132001,116.23
20240224133001,177.78
20240224134001,175.41
20240224135001,33.33
20240224140001,124.1
20240224141001,158.27
20240224142001,99.8
20240224143001,71.74
20240224144001,66.68
20240224145001,57.67
20240224150001,72.21
20240224151001,89.3
20240224152001,96.66
20240224153001,101.09
20240224154001,105.6
20240224155001,108.88
20240224160001,114.79
20240224161001,125.01
20240224162001,137.62
20240224163001,152.47
20240224164001,168.24
20240224165001,183.86
20240226090001,225.36
20240226091001,304.67
20240226092001,350.24
20240226093001,430.73
20240226094001,527.96
20240226095001,600.68
20240226100001,657.72
20240226101001,696.02
20240226102001,698.66
20240226103001,671.67
20240226104001,595.18
20240226105001,429.83
20240226110001,513.09
20240226111001,589.29
20240226112001,587.85
20240226113001,591.01
20240226114001,579.95
20240226115001,544.01
20240226120001,486.26
20240226121001,410.07
20240226122001,321.69
20240226123001,230.09
20240226124001,143.35
20240226125001,73.85
20240226130001,43.0
20240226131001,58.81
20240226132001,116.23
20240226133001,177.78
20240226134001,175.41
20240226135001,33.33
20240226140001,124.1
20240226141001,158.27
20240226142001,99.8
20240226143001,71.74
20240226144001,66.68
20240226145001,57.67
20240226150001,72.21
20240226151001,89.3
20240226152001,96.66
20240226153001,101.09
20240226154001,105.6
20240226155001,108.88
20240226160001,114.79
20240226161001,125.01
20240226162001,137.62
20240226163001,152.47
20240226164001,168.24
20240226165001,183.86
20240327090001,346.63
20240327091001,307.68
20240327092001,376.32
20240327093001,455.11
20240327094001,548.05
20240327095001,612.06
20240327100001,657.72
20240327101001,696.02
20240327102001,698.66
20240327103001,671.67
20240327104001,595.18
20240327105001,429.83
20240327110001,514.75
20240327111001,590.81
20240327112001,588.61
20240327113001,591.67
20240327114001,580.79
20240327115001,544.92
20240327120001,486.87
20240327121001,410.58
20240327122001,322.13
20240327123001,230.46
20240327124001,143.59
20240327125001,73.94
20240327130001,43.0
20240327131001,58.81
20240327132001,116.23
20240327133001,177.78
20240327134001,175.41
20240327135001,33.33
20240327140001,124.1
20240327141001,158.27
20240327142001,99.8
20240327143001,71.74
20240327144001,66.68
20240327145001,57.67
20240327150001,72.21
20240327151001,89.3
20240327152001,96.66
20240327153001,101.09
20240327154001,105.6
20240327155001,108.88
20240327160001,114.79
20240327161001,125.01
20240327162001,137.62
20240327163001,152.47
20240327164001,168.24
20240327165001,183.86
20240329090001,184.99
20240329091001,308.61
20240329092001,359.73
20240329093001,440.62
20240329094001,535.69
20240329095001,604.39
20240329100001,657.72
20240329101001,696.02
20240329102001,698.66
20240329103001,671.67
20240329104001,595.18
20240329105001,429.83
20240329110001,513.91
20240329111001,589.99
20240329112001,588.08
20240329113001,591.26
20240329114001,580.15
20240329115001,544.23
20240329120001,486.36
20240329121001,410.16
20240329122001,321.74
20240329123001,230.12
20240329124001,143.37
20240329125001,73.87
20240329130001,43.0
20240329131001,58.81
20240329132001,116.23
20240329133001,177.78
20240329134001,175.41
20240329135001,33.33
20240329140001,124.1
20240329141001,158.27
20240329142001,99.8
20240329143001,71.74
20240329144001,66.68
20240329145001,57.67
20240329150001,72.21
20240329151001,89.3
20240329152001,96.66
20240329153001,101.09
20240329154001,105.6
20240329155001,108.88
20240329160001,114.79
20240329161001,125.01
20240329162001,137.62
20240329163001,152.47
20240329164001,168.24
20240329165001,183.86
20240428090001,438.72
20240428091001,299.97
20240428092001,385.36
20240428093001,459.87
20240428094001,547.12
20240428095001,612.22
20240428100001,657.72
20240428101001,696.02
20240428102001,698.66
20240428103001,671.67
20240428104001,595.18
20240428105001,429.83
20240428110001,515.18
20240428111001,591.29
20240428112001,588.7
20240428113001,591.68
20240428114001,580.89
20240428115001,545.06
20240428120001,486.99
20240428121001,410.62
20240428122001,322.13
20240428123001,230.47
20240428124001,143.65
20240428125001,73.99
20240428130001,43.0
20240428131001,58.81
20240428132001,116.23
20240428133001,177.78
20240428134001,175.41
20240428135001,33.33
20240428140001,124.1
20240428141001,158.27
20240428142001,99.8
20240428143001,71.74
20240428144001,66.68
20240428145001,57.67
20240428150001,72.21
20240428151001,89.3
20240428152001,96.66
20240428153001,101.09
20240428154001,105.6
20240428155001,108.88
20240428160001,114.79
20240428161001,125.01
20240428162001,137.62
20240428163001,152.47
20240428164001,168.24
20240428165001,183.86
20240430090001,999.77
20240430091001,290.76
20240430092001,390.11
20240430093001,468.51
20240430094001,562.31
20240430095001,623.09
20240430100001,657.72
20240430101001,696.02
20240430102001,698.66
20240430103001,671.67
20240430104001,595.18
20240430105001,429.83
20240430110001,517.36
20240430111001,593.4
20240430112001,590.42
20240430113001,593.25
20240430114001,582.63
20240430115001,546.9
20240430120001,488.65
20240430121001,411.84
20240430122001,323.2
20240430123001,231.34
20240430124001,144.19
20240430125001,74.17
20240430130001,43.0
20240430131001,58.81
20240430132001,116.23
20240430133001,177.78
20240430134001,175.41
20240430135001,33.33
20240430140001,124.1
20240430141001,158.27
20240430142001,99.8
20240430143001,71.74
20240430144001,66.68
20240430145001,57.67
20240430150001,72.21
20240430151001,89.3
20240430152001,96.66
20240430153001,101.09
20240430154001,105.6
20240430155001,108.88
20240430160001,114.79
20240430161001,125.01
20240430162001,137.62
20240430163001,152.47
20240430164001,168.24
20240430165001,183.86
20240515090001,783.15
20240515091001,135.24
20240515092001,226.94
20240515093001,352.35
20240515094001,489.12
20240515095001,589.38
20240515100001,657.72
20240515101001,696.02
20240515102001,698.66
20240515103001,671.67
20240515104001,595.18
20240515105001,429.83
20240515110001,506.26
20240515111001,584.11
20240515112001,582.77
20240515113001,586.77
20240515114001,577.68
20240515115001,543.05
20240515120001,485.48
20240515121001,409.47
20240515122001,321.48
20240515123001,230.05
20240515124001,143.41
20240515125001,73.88
20240515130001,43.0
20240515131001,58.81
20240515132001,116.23
20240515133001,177.78
20240515134001,175.41
20240515135001,33.33
20240515140001,124.1
20240515141001,158.27
20240515142001,99.8
20240515143001,71.74
20240515144001,66.68
20240515145001,57.67
20240515150001,72.21
20240515151001,89.3
20240515152001,96.66
20240515153001,101.09
20240515154001,105.6
20240515155001,108.88
20240515160001,114.79
20240515161001,125.01
20240515162001,137.62
20240515163001,152.47
20240515164001,168.24
20240515165001,183.86
20240520090001,567.68
20240520091001,206.25
20240520092001,284.25
20240520093001,402.14
20240520094001,515.71
20240520095001,599.51
20240520100001,657.72
20240520101001,696.02
20240520102001,698.66
20240520103001,671.67
20240520104001,595.18
20240520105001,429.83
20240520110001,510.68
20240520111001,587.48
20240520112001,585.31
20240520113001,588.75
20240520114001,579.06
20240520115001,544.05
20240520120001,486.19
20240520121001,409.98
20240520122001,321.83
20240520123001,230.31
20240520124001,143.53
20240520125001,73.91
20240520130001,43.0
20240520131001,58.81
20240520132001,116.23
20240520133001,177.78
20240520134001,175.41
20240520135001,33.33
20240520140001,124.1
20240520141001,158.27
20240520142001,99.8
20240520143001,71.74
20240520144001,66.68
20240520145001,57.67
20240520150001,72.21
20240520151001,89.3
20240520152001,96.66
20240520153001,101.09
20240520154001,105.6
20240520155001,108.88
20240520160001,114.79
20240520161001,125.01
20240520162001,137.62
20240520163001,152.47
20240520164001,168.24
20240520165001,183.86
20240613090001,73.41
20240613091001,198.36
20240613092001,263.94
20240613093001,379.29
20240613094001,495.98
20240613095001,583.55
20240613100001,657.72
20240613101001,696.02
20240613102001,698.66
20240613103001,671.67
20240613104001,595.18
20240613105001,429.83
20240613110001,504.6
20240613111001,582.13
20240613112001,581.97
20240613113001,586.29
20240613114001,576.55
20240613115001,541.73
20240613120001,484.42
20240613121001,408.78
20240613122001,320.76
20240613123001,229.46
20240613124001,142.89
20240613125001,73.58
20240613130001,43.0
20240613131001,58.81
20240613132001,116.23
20240613133001,177.78
20240613134001,175.41
20240613135001,33.33
20240613140001,124.1
20240613141001,158.27
20240613142001,99.8
20240613143001,71.74
20240613144001,66.68
20240613145001,57.67
20240613150001,72.21
20240613151001,89.3
20240613152001,96.66
20240613153001,101.09
20240613154001,105.6
20240613155001,108.88
20240613160001,114.79
20240613161001,125.01
20240613162001,137.62
20240613163001,152.47
20240613164001,168.24
20240613165001,183.86
20240615090001,456.21
20240615091001,84.79
20240615092001,181.27
20240615093001,308.16
20240615094001,454.26
20240615095001,571.46
20240615100001,657.72
20240615101001,696.02
20240615102001,698.66
20240615103001,671.67
20240615104001,595.18
20240615105001,429.83
20240615110001,501.26
20240615111001,579.74
20240615112001,579.6
20240615113001,584.23
20240615114001,575.4
20240615115001,541.02
20240615120001,483.75
20240615121001,408.12
20240615122001,320.41
20240615123001,229.34
20240615124001,142.92
20240615125001,73.66
20240615130001,43.0
20240615131001,58.81
20240615132001,116.23
20240615133001,177.78
20240615134001,175.41
20240615135001,33.33
20240615140001,124.1
20240615141001,158.27
20240615142001,99.8
20240615143001,71.74
20240615144001,66.68
20240615145001,57.67
20240615150001,72.21
20240615151001,89.3
20240615152001,96.66
20240615153001,101.09
20240615154001,105.6
20240615155001,108.88
20240615160001,114.79
20240615161001,125.01
20240615162001,137.62
20240615163001,152.47
20240615164001,168.24
20240615165001,183.86
20240703090001,467.62
20240703091001,204.19
20240703092001,268.27
20240703093001,361.19
20240703094001,475.73
20240703095001,578.45
20240703100001,657.72
20240703101001,696.02
20240703102001,698.66
