Serial,WindSpeed(m/s),Pressure(hpa),Temperature(°C),Humidity(%),Sunlight(Lux),Power(mW)
20240916143409,0.0,999.44,33.78333333333333,63.42499999999999,5833.610000000001,7.275000000000001
20240916144009,0.0,999.5240000000001,33.741,63.69100000000001,6848.751000000001,10.594000000000001
20240916145009,0.0,999.632,33.756,63.159000000000006,11003.082,28.03
20240916150009,0.0,999.726,33.487,66.56899999999999,10044.751,22.011000000000003
20240916151009,0.0,999.8190000000001,34.024,65.668,12768.083999999999,33.998
20240916152009,0.0,999.836,34.111,66.21399999999998,12611.083,34.943999999999996
20240916153009,0.0,999.9130000000001,33.906,67.914,10069.168,21.009
20240916154009,0.0,999.9119999999999,33.416000000000004,69.63799999999999,9398.249,18.625999999999998
20240916155009,0.0,999.976,33.584,68.42500000000001,9481.083,18.839000000000002
20240916160009,0.0,1000.006,33.123000000000005,71.175,8048.1669999999995,14.133
20240916161009,0.0,1000.0630000000001,33.307,69.237,6783.3330000000005,10.434000000000001
20240916162009,0.0,1000.201,33.089999999999996,69.514,4101.666,4.17
20240916163009,0.0,1000.309,32.769000000000005,69.651,3314.915,2.622
20240916164009,0.0,1000.451,32.407,70.75800000000001,3164.667,2.3649999999999998
20240916165009,0.0,1000.5949999999999,32.157000000000004,74.125,2159.583,1.236
20240916170009,0.0,1000.6789999999999,32.146,74.074,1920.666,0.9920000000000002
20240916171009,0.0,1000.8770000000001,31.826,74.171,1272.001,0.488
20240916172009,0.0,1000.9889999999999,31.416999999999994,77.27799999999999,901.75,0.27999999999999997
20240916173009,0.0,1001.016,31.016000000000002,81.31,699.582,0.20600000000000002
20240916174009,0.0,1001.2329999999998,30.931,81.971,296.66499999999996,0.07300000000000001
20240916175009,0.0,1001.4869999999999,30.942,82.81500000000001,84.666,0.014000000000000002
20240916180009,0.0,1001.74,30.93,82.9,21.67,0.0
20240917052709,0.0,1004.1266666666667,27.16,100.0,30.0,0.0
20240917053009,0.0,1004.1140000000001,27.186,100.0,108.0,0.011
20240917054009,0.0,1004.0970000000001,27.052,100.0,360.58299999999997,0.065
20240917055009,0.0,1004.094,26.977999999999998,100.0,829.333,0.248
20240917060009,0.0,1004.0199999999999,27.156,100.0,1424.334,0.596
20240917061009,0.0,1003.943,27.248,100.0,2141.7509999999993,1.3359999999999999
20240917062009,0.0,1004.0049999999999,27.426,100.0,3020.499,2.903
20240917063009,0.0,1004.051,27.747000000000003,100.0,3902.833,4.939
20240917064009,0.0,1004.082,28.103,100.0,4601.750999999999,6.784000000000001
20240917065009,0.0,1004.064,28.500999999999998,99.42999999999999,5152.084,8.986999999999998
20240917070009,0.0,1004.0199999999999,28.886999999999993,98.9,5650.916,9.863
20240917071009,0.0,1004.0300000000001,29.014,94.72599999999998,5691.3330000000005,9.759
20240917072009,0.0,1004.077,29.165,92.32300000000001,5964.0,10.531
20240917073009,0.0,1004.1610000000001,29.383,92.36099999999999,6219.1669999999995,11.331
20240917074009,0.0,1004.2729999999999,29.645,91.87100000000001,6450.4169999999995,11.878
20240917075009,0.0,1004.3439999999998,29.913,89.946,6659.916,12.501999999999999
20240917080009,0.0,1004.3299999999999,30.092000000000002,88.93800000000002,6858.4169999999995,13.078999999999999
20240917081009,0.0,1004.366,30.309999999999995,86.995,7152.084,13.947
20240917082009,0.0,1004.356,30.483999999999998,85.40599999999999,7501.166,14.931000000000001
20240917083009,0.0,1004.335,30.833,82.937,41141.386,258.62600000000003
20240917084009,0.0,1004.4249999999998,37.956999999999994,62.13900000000001,89848.422,1250.778
20240917085009,0.0,1004.45,43.386,45.552,96296.14699999998,1270.297
20240917090009,0.0,1004.4709999999999,46.515,37.07,101350.211,1284.853
20240917091009,0.0,1004.4199999999998,47.007,34.47500000000001,104866.51699999999,1302.389
20240917092009,0.0,1004.354,47.582,33.593,106449.20399999998,1307.6680000000001
20240917093009,0.0,1004.1819999999998,47.929,31.840999999999998,107427.424,1316.4140000000002
20240917094009,0.0,1004.125,49.056,29.893,108845.697,1311.9590000000003
20240917095009,0.0,1003.988,49.634,27.506999999999998,111300.407,1316.2169999999999
20240917100009,0.0,1003.8380000000001,50.08200000000001,26.544999999999998,113764.81999999999,1301.516
20240917101009,0.0,1003.7149999999999,52.123000000000005,23.806,116999.55599999998,1278.784
20240917102009,0.0,1003.5720000000001,51.46900000000001,22.255999999999997,117745.442,1294.5440000000003
20240917103009,0.0,1003.3879999999999,50.907,20.817,117507.53300000001,1314.3629999999998
20240917104009,0.0,1003.2629999999999,49.013,21.853,116342.61900000002,1359.3380000000002
20240917105009,0.0,1003.1390000000001,48.894,21.863999999999997,116293.74399999999,1364.569
20240917110009,0.0,1002.993,50.962999999999994,20.863000000000003,117754.965,1314.736
20240917111009,0.0,1002.969,49.39300000000001,20.887,116067.15800000001,1357.16
20240917112009,0.0,1002.9300000000001,47.39999999999999,24.497,111577.125,1386.6889999999999
20240917113009,0.0,1002.9130000000001,50.108,21.781,110249.955,1327.5449999999998
20240917114009,0.0,1002.74,47.157000000000004,23.0,104564.459,1381.5410000000002
20240917115009,0.0,1002.615,45.282,24.986,102919.42199999999,1399.8569999999997
20240917120009,0.0,1002.552,46.714999999999996,25.268,103378.525,1371.335
20240917121009,0.0,1002.4739999999999,48.338999999999984,23.299,104196.821,1360.9669999999999
20240917122009,0.0,1002.39,47.433,22.889,100302.81599999999,1368.993
20240917123009,0.0,1002.2520000000001,46.632999999999996,24.416000000000004,93571.36499999999,1347.3880000000001
20240917124009,0.0,1002.1160000000002,45.682,26.940999999999995,82509.08499999999,1232.977
20240917125009,0.0,1002.0719999999999,47.18300000000001,25.419,67596.15900000001,979.5710000000001
20240917130009,0.0,1001.814,42.028000000000006,35.088,6420.834999999999,11.336
20240917131009,0.0,1001.6269999999998,37.550000000000004,45.565,5779.833,9.074000000000002
20240917132009,0.0,1001.5360000000001,35.022999999999996,54.77,5643.084,8.521999999999998
20240917133009,0.0,1001.4730000000002,33.72,60.75,5014.9169999999995,6.587999999999999
20240917134009,0.0,1001.4039999999999,33.114000000000004,66.10300000000001,5158.1669999999995,6.949
